Div,avg_MAU,avg_time_spend,TGI_MAU,TGI_Timespend
办公商务,58665.87285714286,285.50571428571425,113.90219799199586,54.12534431375913
出行服务,81886.5942857143,128.09285714285713,158.9861809085152,24.283471923970556
电话通讯,12354.41,121.67,23.986593659331547,23.06584531637371
房产服务,6138.891428571429,50.287142857142854,11.91890945952872,9.533290528028635
健康美容,11805.19142857143,121.16285714285713,22.920263279894918,22.96970264606746
教育学习,54464.23714285714,181.57142857142858,105.74454994703808,34.421784213870055
金融理财,95965.83285714287,114.08142857142856,186.32159997309577,21.62722597928419
旅游服务,11899.367142857143,26.641428571428573,23.103109291250274,5.050604671946992
拍摄美化,38337.532857142854,51.794285714285714,74.43389223326388,9.819010294713395
汽车服务,24720.192857142858,106.92857142857143,47.995268187197595,20.271208091331026
生活服务,68274.28857142858,110.45142857142856,132.55733113461517,20.93906111943019
实用工具,52610.08142857142,122.55428571428571,102.14463059033069,23.233485634456994
手机游戏,66951.78,1472.9385714285713,129.98962650818297,279.23541751534395
数字阅读,47690.562857142846,564.7442857142858,92.59318353843649,107.06258188207178
系统工具,103666.83428571429,1526.9971428571428,201.2734100584883,289.48368452114295
新闻资讯,71558.01,1034.1971428571428,138.93281095093843,196.06009142581163
医疗服务,2771.164285714286,38.93285714285714,5.380329103913527,7.380778010862317
移动购物,97512.01,442.5028571428571,189.32356630342318,83.88840679633891
移动社交,111731.12285714287,2744.2671428571425,216.930557029849,520.2501966298157
移动视频,110592.53428571428,2611.8514285714286,214.7199406258268,495.1472100006433
移动音乐,74814.11428571427,368.45571428571435,145.2546709518479,69.85076445835682
育儿母婴,7573.285714285715,118.76,14.703844788589008,22.514175965912237
智能设备,11547.59,38.144285714285715,22.420119542297883,7.2312829291466905
主题美化,12599.998571428572,277.2242857142857,24.4634139421482,52.55537513132165
